drug_name,active_ingredient,drug_classes,original_conditions
retapamulin,retapamulin topical,Topical antibiotics,Acne|Impetig|Impetigo
retrovir,zidovudine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV
revefenacin,revefenacin,Anticholinergic bronchodilators,COPD
rexulti,brexpiprazole,Atypical antipsychotics,Depression|Major Depressive Disorde|Schizophrenia
reyataz,atazanavir,Protease inhibitors,AIDS/HIV|HIV Infection
riabni,rituximab,CD20 monoclonal antibodies,Rheumatoid Arthritis
riax,benzoyl peroxide topical,Topical acne agents,Acne
ridaura,auranofin,Antirheumatics,Rheumatoid Arthritis
rilpivirine,rilpivirine,NNRTIs,AIDS/HIV
rimegepant,rimegepant,CGRP inhibitors,Migraine
riomet,metformin,Non-sulfonylureas,Diabetes (Type 2)
risankizumab,risankizumab,Interleukin inhibitors,Psoriasis
risedronate,risedronate,Bisphosphonates,Osteoporosis|Paget's Disease|Prevention of Osteoporosis
risperdal,risperidone,Atypical antipsychotics,Asperger Syndrome|Autism|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Depression|Head Injury|Mania|Nightmares|Paranoid Disorde|Post Traumatic Stress Disorde|Schizoaffective Disorde|Schizophrenia|Social Anxiety Disorde
risperdal consta,risperidone,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Schizophrenia
risperidone,risperidone,Atypical antipsychotics,Agitation|Anxiety|Asperger Syndrome|Autism|Bipolar Disorde|Bipolar Disorder|Body Dysmorphic Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Head Injury|Mania|Nightmares|Not Listed / Othe|Paranoid Disorde|Paranoid Disorder|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Schizoaffective Disorde|Schizoaffective Disorder|Schizophrenia|Severe Mood Dysregulation|Social Anxiety Disorde|Social Anxiety Disorder|Tic Disorde|Tic Disorder
ritalin,methylphenidate,CNS stimulants,ADHD|Depression|Narcolepsy
ritalin la,methylphenidate,CNS stimulants,ADHD
ritonavir,ritonavir,"Antiviral boosters, Protease inhibitors",AIDS/HIV|HIV Infection
rituxan,rituximab,"Antirheumatics, CD20 monoclonal antibodies",Chronic Lymphocytic Leukemia|Non-Hodgkin's Lymphoma|Pemphigus|Rheumatoid Arthritis|cal Segmental Glomerulosclerosis
rivastigmine,rivastigmine,Cholinesterase inhibitors,Alzheimer's|Alzheimer's Disease|Lewy Body Dementia|Parkinson's Disease
