drug_name,active_ingredient,drug_classes,original_conditions
7t gummy es chewable tablets,acetaminophen,,Pain
a-g profen,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
abacavir,abacavir,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|HIV Infection|Nonoccupational Exposure|Occupational Exposure
abaloparatide,abaloparatide,Parathyroid hormone and analogs,Osteoporosis
abatacept,abatacept,"Antirheumatics, Selective immunosuppressants",Juvenile Idiopathic Arthritis|Rheumatoid Arthritis
abilify,aripiprazole,Atypical antipsychotics,Agitated State|Autism|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Depression|Major Depressive Disorde|Obsessive Compulsive Disorde|Post Traumatic Stress Disorde|Schizoaffective Disorde|Schizophrenia|Tourette's Syndrome
abilify maintena,aripiprazole,Atypical antipsychotics,Bipolar Disorder|Schizophrenia
abilify mycite,aripiprazole,Atypical antipsychotics,Bipolar Disorder
abreva,docosanol topical,Topical anti-infectives,Herpes|Herpes Simplex
absorica,isotretinoin,Miscellaneous uncategorized agents,Acne
absorica ld,isotretinoin,Miscellaneous uncategorized agents,Acne
accupril,quinapril,Angiotensin Converting Enzyme Inhibitors,Heart Failure|Hypertension
accutane,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents",Acne|Acute Nonlymphocytic Leukemia|Granuloma Annulare|Rosacea
acephen,acetaminophen,Miscellaneous analgesics,Pain
acetaminophen,acetaminophen,Miscellaneous analgesics,Chiari Malformation|Dengue Fever|Eustachian Tube Dysfunction|Fever|Muscle Pain|Neck Pain|Pain|Plantar Fasciitis|Sciatica|Transverse Myelitis|eve
acetohydroxamic acid,acetohydroxamic acid,Miscellaneous genitourinary tract agents,UTI|Urinary Tract Infection
acetoxyl,benzoyl peroxide,Topical acne agents,Acne
acid controller maximum strength,famotidine,H2 antagonists,GERD (Heartburn)
acid controller original strength,famotidine,H2 antagonists,GERD (Heartburn)
acid reducer maximum strength,famotidine,H2 antagonists,GERD (Heartburn)
aciphex,rabeprazole,Proton pump inhibitors,Barrett's Esophagus|Duodenal Ulce|Erosive Esophagitis|GERD|GERD (Heartburn)|Helicobacter Pylori Infection|Stomach Ulce
aciphex sprinkle,rabeprazole,,GERD (Heartburn)
acitretin,acitretin,Antipsoriatics,Pityriasis rubra pilaris|Psoriasis
aclasta,zoledronic acid,Bisphosphonates,Osteoporosis
aclidinium,aclidinium,Anticholinergic bronchodilators,"COPD|COPD, Maintenance"
acne-10,benzoyl peroxide,Topical acne agents,Acne
acne-clear,benzoyl peroxide topical,Topical acne agents,Acne
acnevir,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
acnex,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
acnomel acne mask,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
acnomel bp 5,benzoyl peroxide,Topical acne agents,Acne
actamin,acetaminophen,Miscellaneous analgesics,Pain
actemra,tocilizumab,Interleukin inhibitors,Covid 19|Juvenile Idiopathic Arthritis|Rheumatoid Arthritis
acthar,corticotropin,Corticotropin,Allergies|Multiple Sclerosis|Rheumatoid Arthritis|Sarcoidosis
actiprofen,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
activase,alteplase,Thrombolytics,Stroke
activice,menthol topical,Topical rubefacient,Pain
actonel,risedronate,Bisphosphonates,Osteoporosis|Paget's Disease
actos,pioglitazone,Thiazolidinediones,"Diabetes (Type 2)|Diabetes, Type 2"
acyclovir,acyclovir,Purine nucleosides,"Cold Sores|Cold Sores (Herpes Simplex Labialis)|Herpes|Herpes Simplex|Herpes Simplex - Congenital|Herpes Simplex Encephalitis|Herpes Simplex, Mucocutaneous/Immunocompetent Host|Herpes Simplex, Mucocutaneous/Immunocompromised Host|Herpes Simplex, Suppression|Herpes Zoste|Herpes Zoster|Herpetic Keratitis|Infectious Mononucleosis|Mononucleosis|Not Listed / Othe|Ramsay Hunt Syndrome|Varicella-Zoster"
aczone,dapsone topical,Topical acne agents,Acne
adalat cc,nifedipine,Calcium channel blocking agents,High Blood Pressure|Hypertension
adalimumab,adalimumab,"Antirheumatics, TNF alfa inhibitors","Ankylosing Spondylitis|Behcet's Disease|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Hidradenitis Suppurativa|Juvenile Idiopathic Arthritis|Not Listed / Othe|Plaque Psoriasis|Psoriasis|Psoriatic Arthritis|Reiter's Syndrome|Rheumatoid Arthritis|Sarcoidosis|Spondyloarthritis|Ulcerative Colitis"
adapalene,adapalene topical,Topical acne agents,Acne
adasuve,loxapine,Miscellaneous antipsychotic agents,Schizophrenia
addaprin,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
adhansia xr,methylphenidate hydrochloride,CNS stimulants,ADHD
adipex-p,phentermine,"Anorexiants, CNS stimulants",Obesity|Weight Loss
adlarity,donepezil,Cholinesterase inhibitors,Alzheimer's
adlyxin,lixisenatide,Incretin mimetics,Diabetes (Type 2)
admelog,insulin lispro,Insulin,Diabetes (Type 1)
adoxa ck,doxycycline,"Miscellaneous antimalarials, Tetracyclines",Acne
adoxa pak,doxycycline,,Acne
adoxa tt,doxycycline,"Miscellaneous antimalarials, Tetracyclines",Acne
advil,ibuprofen,Nonsteroidal anti-inflammatory drugs,"Back Pain|Cystic Fibrosis|Gout, Acute|Headache|Muscle Pain|Osteoarthritis|Pain|Rheumatoid Arthritis|Sciatica|Spondylolisthesis|eve"
advil children's,ibuprofen,Nonsteroidal anti-inflammatory drugs,Pain
advil infant's concentrated drops,ibuprofen,Nonsteroidal anti-inflammatory drugs,Pain
advil migraine,ibuprofen,Nonsteroidal anti-inflammatory drugs,Headache|Pain
adzenys er,amphetamine,CNS stimulants,ADHD
adzenys xr-odt,amphetamine,CNS stimulants,ADHD
afeditab cr,nifedipine,Calcium channel blocking agents,Hypertension
aflaxen,naproxen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
akurza,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
ala-cort,hydrocortisone topical,Topical steroids,Eczema
ala-hist ir,dexbrompheniramine,Antihistamines,Allergies
ala-scalp hp,hydrocortisone,Topical steroids,Eczema
ala-tet,tetracycline,Tetracyclines,Acne
alavert,loratadine,Antihistamines,Hayfever|Urticaria
aldactone,spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics",Acne|Alopecia|Edema|Heart Failure|High Blood Pressure|Primary Hyperaldosteronism
alendronate,alendronate,Bisphosphonates,Aseptic Necrosis|Osteoporosis|Paget's Disease|Prevention of Osteoporosis
aleve,naproxen,Nonsteroidal anti-inflammatory drugs,"Ankylosing Spondylitis|Back Pain|Costochondritis|Gout, Acute|Headache|Juvenile Rheumatoid Arthritis|Muscle Pain|Osteoarthritis|Pain|Period Pain|Rheumatoid Arthritis|Sciatica|Tendonitis|zen Shoulde"
aliclen,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
alirocumab,alirocumab,PCSK9 inhibitors,"Cardiovascular Risk Reduction|Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|High Cholesterol, Familial Homozygous"
aliskiren,aliskiren,Renin inhibitors,High Blood Pressure|Hypertension
alka-seltzer plus-d multi-symptom sinus & cold liquid gels,acetaminophen/chlorpheniramine/dextromethorphan/pseudoephedrine caps & tabs,Upper respiratory combinations,Colds & Flu
all day allergy,cetirizine hydrochloride,Antihistamines,Allergic Rhinitis|Hayfever
all day allergy children's,cetirizine hydrochloride,Antihistamines,Hayfever
all day relief,naproxen sodium,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
allegra,fexofenadine,Antihistamines,Allergic Rhinitis|Hayfever|Urticaria
allegra allergy,fexofenadine,Antihistamines,Allergic Rhinitis|Hayfever
allegra odt,fexofenadine,Antihistamines,Allergic Rhinitis|Hayfever
aller-chlor,chlorpheniramine,Antihistamines,Colds & Flu
aller-ease,fexofenadine,Antihistamines,Hayfever|Urticaria
aller-tec,cetirizine hydrochloride,Antihistamines,Hayfever
aller-tec children's,cetirizine hydrochloride,Antihistamines,Hayfever
allergy relief,chlorpheniramine,Antihistamines,Colds & Flu
allergy relief 24 hour,loratadine,Antihistamines,Hayfever
allergy relief tablets,loratadine,Antihistamines,Hayfever
allermax,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
alli,orlistat,Peripherally acting antiobesity agents,Obesity|Weight Loss
allopurinol,allopurinol,"Antigout agents, Antihyperuricemic agents",Calcium Oxalate Calculi with Hyperuricosuria|Cardiothoracic Surgery|Gout|High Risk Percutaneous Transluminal Angioplasty|Hyperuricemia Secondary to Chemotherapy|Leishmaniasis|Mania|Reactive Perforating Collangenosis|Urinary Tract Stones
aloe polysaccharides / iodoquinol,iodoquinol,Topical anti-infectives,Eczema|Lichen Simplex Chronicus
alogliptin,alogliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
aloprim,allopurinol,"Antigout agents, Antihyperuricemic agents",Gout
aloquin,iodoquinol,Topical anti-infectives,Eczema
alpha e,vitamin e,Vitamins,Alzheimer's
alprazolam,alprazolam,Benzodiazepines,Anxiety|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Dysautonomia|Not Listed / Othe|Panic Disorde|Panic Disorder|Tinnitus
alquam-x acne therapy gel,benzoyl peroxide,Topical acne agents,Acne
altabax,retapamulin topical,Topical antibiotics,Acne|Impetig
altace,ramipril,Angiotensin Converting Enzyme Inhibitors,Diabetic Kidney Disease|Heart Attack|Heart Failure|High Blood Pressure|Hypertension
altarussin,guaifenesin,Expectorants,Bronchitis
alteplase,alteplase,Thrombolytics,IV Catheter Clot|Ischemic Stroke|Pulmonary Embolism|Stroke|Thrombotic/Thromboembolic Disorder
altocor,lovastatin,Statins,Cholesterol
altoprev,lovastatin,Statins,"Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous"
altreno,tretinoin topical,Topical acne agents,Acne
aluminum hydroxide,aluminum hydroxide,"Antacids, Phosphate binders",GERD (Heartburn)|Gastrointestinal Hemorrhage|Hyperphosphatemia|Peptic Ulcer
alvimopan,alvimopan,Peripheral opioid receptor antagonists,Gastrointestinal|Gastrointestinal Surgery|Postoperative Ileus
amaryl,glimepiride,Sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2"
ambien,zolpidem,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
ambien cr,zolpidem,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
amcinonide,amcinonide topical,Topical steroids,Dermatitis|Eczema
amerge,naratriptan,Antimigraine agents,Migraine
amibid la,guaifenesin,Expectorants,Bronchitis
amikacin,amikacin,Aminoglycosides,"Bacteremia|Cystic Fibrosis|Febrile Neutropenia|Intraabdominal Infection|Joint Infection|Meningitis|Nosocomial Pneumonia|Not Listed / Othe|Pneumonia|Tuberculosis, Active|Urinary Tract Infection"
amikin,amikacin,Aminoglycosides,Cystic Fibrosis|Pneumonia
amikin pediatric,amikacin,Aminoglycosides,Pneumonia
amiloride,amiloride,Potassium-sparing diuretics,Ascites|Edema|High Blood Pressure|Hypertension
amlodipine,amlodipine,Calcium channel blocking agents,Angina|Coronary Artery Disease|Heart Failure|Heart Failure (Congestive Heart Failure)|High Blood Pressure|High Blood Pressure (Hypertension)|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Not Listed / Othe|Raynaud's Syndrome
amnesteem,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents",Acne
amoxicillin,amoxicillin,Aminopenicillins,"Actinomycosis|Anthrax Prophylaxis|Bacterial Endocarditis Prevention|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bacterial Infection|Bladder Infection|Bronchiectasis|Bronchitis|Chlamydia Infection|Cutaneous Bacillus anthracis|Dental Abscess|Helicobacter Pylori Infection|Lyme Disease, Arthritis|Lyme Disease, Carditis|Lyme Disease, Erythema Chronicum Migrans|Lyme Disease, Neurologic|Not Listed / Othe|Otitis Media|Pneumonia|Sinusitis|Skin or Soft Tissue Infection|Spleen Removal (Splenectomy)|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection|Urinary Tract Infection"
amoxil,amoxicillin,Aminopenicillins,Bacterial Infection|Bladder Infection|Bronchitis|Dental Abscess|Helicobacter Pylori Infection|Pneumonia|Sinusitis|Skin or Soft Tissue Infection|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection|Urinary Tract Infection
amphetamine,amphetamine,CNS stimulants,ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Narcolepsy
amphojel,aluminum hydroxide,"Antacids, Phosphate binders",GERD (Heartburn)
anacin aspirin free,acetaminophen,Miscellaneous analgesics,Pain
anakinra,anakinra,"Antirheumatics, Interleukin inhibitors",Covid 19|Cryopyrin-Associated Periodic Syndromes|Rheumatoid Arthritis|Schnitzler Syndrome|Still's Disease
anaprox,naproxen,Nonsteroidal anti-inflammatory drugs,Back Pain|Muscle Pain|Osteoarthritis|Tendonitis
anaprox-ds,naproxen,Nonsteroidal anti-inflammatory drugs,Headache|Muscle Pain|Osteoarthritis|Pain|Period Pain
anbesol,benzocaine topical,Topical anesthetics,Pain
ancef,cefazolin,First generation cephalosporins,Pneumonia
anecream,lidocaine topical,Topical anesthetics,Pain
anestacon,lidocaine,Topical anesthetics,Pain
angiomax,bivalirudin,Thrombin inhibitors,Angina|Percutaneous Coronary Intervention
anjeso,meloxicam,Nonsteroidal anti-inflammatory drugs,Pain
anthraforte,anthralin,Topical antipsoriatics,Psoriasis
anthrascalp,anthralin,Topical antipsoriatics,Psoriasis
anti-diarrheal,loperamide hydrochloride,Antidiarrheals,Diarrhea
apexicon,diflorasone topical,Topical steroids,Eczema
apexicon e,diflorasone topical,Topical steroids,Eczema
apidra,insulin glulisine,Insulin,"Diabetes (Type 1)|Diabetes, Type 2"
apo-amoxi,amoxicillin,Aminopenicillins,Bronchitis
apresoline,hydralazine,Vasodilators,Hypertension
apriso,mesalamine,5-aminosalicylates,"Crohn's Disease|IBD (Bowel)|Inflammatory Bowel Disease|Ulcerative Colitis|Ulcerative Colitis, Maintenance"
aptensio xr,methylphenidate,CNS stimulants,ADHD
aptiom,eslicarbazepine,Dibenzazepine anticonvulsants,Seizures
aptivus,tipranavir,Protease inhibitors,AIDS/HIV
aqua gem-e,vitamin e,Vitamins,Alzheimer's
aquanil hc,hydrocortisone topical,Topical steroids,Eczema
aquasol e,vitamin e,Vitamins,Alzheimer's
aquazide h,hydrochlorothiazide,Thiazide diuretics,Hypertension
arava,leflunomide,"Antirheumatics, Selective immunosuppressants",Rheumatoid Arthritis
arazlo,tazarotene topical,Topical acne agents,Acne
arbinoxa,carbinoxamine,Antihistamines,Hayfever
aricept,donepezil,Cholinesterase inhibitors,Alzheimer's|Alzheimer's Disease
aricept odt,donepezil,Cholinesterase inhibitors,Alzheimer's|Alzheimer's Disease|Mild Cognitive Impairment
aripiprazole,aripiprazole,Atypical antipsychotics,Agitated State|Autism|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Major Depressive Disorde|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Schizoaffective Disorde|Schizoaffective Disorder|Schizophrenia|Tourette's Syndrome
aristada,aripiprazole,Atypical antipsychotics,Schizophrenia
aristocort a,triamcinolone,Topical steroids,Dermatitis|Eczema
aristocort r,triamcinolone,Topical steroids,Eczema
aristospan,triamcinolone,Glucocorticoids,Hair Loss|Rheumatoid Arthritis
armour thyroid,thyroid desiccated,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|TSH Suppression|Thyroid Cance|Underactive Thyroid"
arthritis pain,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
asacol,mesalamine,5-aminosalicylates,"Crohn's Disease|Crohn's Disease, Maintenance|IBD (Bowel)|Inflammatory Bowel Disease|Lymphocytic Colitis|Ulcerative Colitis|Ulcerative Colitis, Active|Ulcerative Colitis, Maintenance"
asacol hd,mesalamine,5-aminosalicylates,"Crohn's Disease, Maintenance|IBD (Bowel)|Ulcerative Colitis|Ulcerative Colitis, Active|Ulcerative Colitis, Maintenance"
ascriptin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
asenapine,asenapine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Not Listed / Othe|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Schizoaffective Disorde|Schizophrenia
aspercreme pain relieving heat gel,menthol topical,Topical rubefacient,Pain
aspergum,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
aspir-low,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
aspirin,aspirin,"Platelet aggregation inhibitors, Salicylates","Angina|Angina Pectoris Prophylaxis|Ankylosing Spondylitis|Antiphospholipid Syndrome|Aseptic Necrosis|Back Pain|Fever|Heart Attack|Heart Attack (Myocardial Infarction)|Ischemic Stroke|Ischemic Stroke, Prophylaxis|Juvenile Rheumatoid Arthritis|Kawasaki Disease (Mucocutaneous Lymph Node Syndrome)|Myocardial Infarction, Prophylaxis|Niacin Flush|Osteoarthritis|Pain|Prevention of Thromboembolism in Atrial Fibrillation|Prosthetic Heart Valves - Thrombosis Prophylaxis|Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis|Revascularization Procedures, Prophylaxis|Rheumatic Fever|Rheumatoid Arthritis|Sciatica|Spondyloarthritis|Systemic Lupus Erythematosus|Thromboembolic Stroke Prophylaxis|Transient Ischemic Attack|eve"
aspirtab,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
aspruzyo sprinkle,ranolazine,Antianginal agents,Angina
astelin,azelastine nasal,Nasal antihistamines and decongestants,Allergic Rhinitis|Hayfever
astepro,azelastine nasal,Nasal antihistamines and decongestants,Allergic Rhinitis|Hayfever
astero,lidocaine,Topical anesthetics,Pain
astramorph pf,morphine,Opioids (narcotic analgesics),Pain
atacand,candesartan,Angiotensin receptor blockers,High Blood Pressure|Hypertension
atazanavir,atazanavir,Protease inhibitors,AIDS/HIV|HIV Infection|Nonoccupational Exposure
atelvia,risedronate,Bisphosphonates,Osteoporosis
atenolol,atenolol,Cardioselective beta blockers,Alcohol Withdrawal|Angina|Angina Pectoris Prophylaxis|Anxiety|Esophageal Variceal Hemorrhage Prophylaxis|Heart Attack (Myocardial Infarction)|High Blood Pressure|High Blood Pressure (Hypertension)|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Mitral Valve Prolapse|Not Listed / Othe|Supraventricular Tachycardia|Ventricular Tachycardia
ativan,lorazepam,"Benzodiazepine anticonvulsants, Benzodiazepines, Miscellaneous antiemetics","Anxiety|Cervical Dystonia|Dysautonomia|Insomnia|Light Anesthesia|Nausea/Vomiting|Nausea/Vomiting, Chemotherapy Induced|Panic Disorde|Sedation|Status Epilepticus"
atomoxetine,atomoxetine,Adrenergic uptake inhibitors for ADHD,ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Depression|Social Anxiety Disorde|Social Anxiety Disorder
atorvastatin,atorvastatin,Statins,"Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|High Cholesterol, Familial Homozygous|Hyperlipoproteinemia|Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL|Hyperlipoproteinemia Type IIa, Elevated LDL|Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL|Hyperlipoproteinemia Type IV, Elevated VLDL|Prevention of Cardiovascular Disease"
atralin,tretinoin topical,Topical acne agents,Acne|Photoaging of the Skin
atrovent hfa,ipratropium inhalation,Anticholinergic bronchodilators,"Asthma|COPD, Maintenance"
atti-plex p,phentermine,"Anorexiants, CNS stimulants",Weight Loss
auranofin,auranofin,Antirheumatics,Felty's Syndrome|Rheumatoid Arthritis
aurophen,acetaminophen,,Pain
avanafil,avanafil,Impotence agents,Erectile Dysfunction
avapro,irbesartan,Angiotensin receptor blockers,Diabetic Kidney Disease|High Blood Pressure|Hypertension
avelox,moxifloxacin,Quinolones,Bacterial Infection|Bronchitis|Intraabdominal Infection|Pneumonia|Prostatitis|Sinusitis|Skin and Structure Infection
avelox i.v.,moxifloxacin,Quinolones,Bronchitis
aventyl hydrochloride,nortriptyline,Tricyclic antidepressants,Depression|Reflex Sympathetic Dystrophy Syndrome|Vulvodynia
avita,tretinoin topical,Topical acne agents,Acne
axid ar,nizatidine,H2 antagonists,GERD|GERD (Heartburn)|Stomach Ulce
azactam,aztreonam,Miscellaneous antibiotics,Pneumonia
azasan,azathioprine,"Antirheumatics, Other immunosuppressants",Crohn's Disease|IBD (Bowel)|Systemic Lupus Erythematosus
azathioprine,azathioprine,"Antirheumatics, Other immunosuppressants","Atopic Dermatitis|Autoimmune Hepatitis|Behcet's Disease|Bullous Pemphigoid|Chronic Active Hepatitis|Chronic Inflammatory Demyelinating Polyradiculoneuropathy|Cogan's Syndrome|Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Dermatomyositis|Eczema|Glomerulonephritis|Granulomatosis with Polyangiitis|Idiopathic Thrombocytopenic Purpura|Inflammatory Bowel Disease|Multiple Sclerosis|Myasthenia Gravis|Myopathy|Nephrotic Syndrome|Neurosarcoidosis|Organ Transplant, Rejection Prophylaxis|Pemphigoid|Pemphigus|Primary Biliary Cholangitis|Renal Transplant|Rheumatoid Arthritis|Sarcoidosis|Systemic Lupus Erythematosus|Takayasu's Arteritis|Ulcerative Colitis|Uveitis|Wegener's Granulomatosis"
azelaic acid,azelaic acid topical,"Topical acne agents, Topical anti-rosacea agents",Acne|Rosacea
azelastine,azelastine nasal,Nasal antihistamines and decongestants,"Allergic Rhinitis|Conjunctivitis, Allergic|Hayfever|Not Listed / Othe"
azelex,azelaic acid topical,"Topical acne agents, Topical anti-rosacea agents",Acne|Rosacea
azithromycin,azithromycin,Macrolides,"Babesiosis|Bacterial Endocarditis Prevention|Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)|Bacterial Infection|Bartonellosis|Bronchitis|COPD, Acute|Cervicitis|Chancroid|Chlamydia Infection|Conjunctivitis, Bacterial|Cystic Fibrosis|Gonococcal Infection, Uncomplicated|Granuloma Inguinale|Legionella Pneumonia|Lyme Disease, Erythema Chronicum Migrans|Mycobacterium avium-intracellulare, Prophylaxis|Mycobacterium avium-intracellulare, Treatment|Mycoplasma Pneumonia|Neonatal Conjunctivitis|Nongonococcal Urethritis|Not Listed / Othe|Otitis Media|Pelvic Inflammatory Disease|Pertussis|Pertussis Prophylaxis|Pharyngitis|Pneumonia|STD Prophylaxis|Sinusitis|Skin and Structure Infection|Skin or Soft Tissue Infection|Tonsillitis/Pharyngitis|Toxoplasmosis|Typhoid Fever|Upper Respiratory Tract Infection"
azithromycin dose pack,azithromycin,Macrolides,"Bacterial Infection|Bronchitis|COPD, Acute|Chlamydia Infection|Pharyngitis|Pneumonia|Sinusitis|Skin or Soft Tissue Infection|Tonsillitis/Pharyngitis|Upper Respiratory Tract Infection"
aztreonam,aztreonam,Miscellaneous antibiotics,Cystic Fibrosis|Pneumonia|Pneumonia with Cystic Fibrosis
azulfidine,sulfasalazine,"5-aminosalicylates, Antirheumatics",Hair Loss|Juvenile Rheumatoid Arthritis|Ulcerative Colitis
azulfidine en-tabs,sulfasalazine,"5-aminosalicylates, Antirheumatics",Hair Loss
baciim,bacitracin,Miscellaneous antibiotics,Pneumonia
bacitracin,bacitracin,Miscellaneous antibiotics,"Bacterial Skin Infection|Conjunctivitis, Bacterial|Pneumonia"
bactine,lidocaine topical,Topical anesthetics,Pain
balnetar,coal tar topical,Miscellaneous topical agents,Psoriasis
baricitinib,baricitinib,"Antirheumatics, Selective immunosuppressants",Covid 19
basaglar,insulin glargine,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
baxdela,delafloxacin,Quinolones,Pneumonia
bayer aspirin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina|Back Pain|Heart Attack
bayer aspirin extra strength plus,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
beclomethasone,beclomethasone nasal,Nasal steroids,"Allergic Rhinitis|Asthma, Maintenance|Bronchitis|Hayfever|Nasal Polyps|Nasal Polyps, Prevention|Reversible Airways Disease, Maintenance"
beconase aq,beclomethasone nasal,Nasal steroids,Allergic Rhinitis|Hayfever
belbuca,buprenorphine,Opioids (narcotic analgesics),Chronic Pain|Pain
belsomra,suvorexant,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
benadryl,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Allergic Reactions|Allergic Rhinitis|Cold Symptoms|Colds & Flu|Cough|Extrapyramidal Reaction|Insomnia|Nausea/Vomiting|Urticaria
benazepril,benazepril,Angiotensin Converting Enzyme Inhibitors,Diabetic Kidney Disease (Diabetic Nephropathy)|High Blood Pressure|Hypertension|Left Ventricular Dysfunction
bengay ultra strength pain relieving patch,menthol topical,Topical rubefacient,Pain
benicar,olmesartan,Angiotensin receptor blockers,High Blood Pressure|Hypertension|Migraine Prevention
benylin e,guaifenesin,Expectorants,Bronchitis
benzac,benzoyl peroxide,Topical acne agents,Acne
benzac ac,benzoyl peroxide topical,Topical acne agents,Acne
benzagel,benzoyl peroxide,Topical acne agents,Acne
benzagel wash,benzoyl peroxide,Topical acne agents,Acne
benzashave,benzoyl peroxide,Topical acne agents,Acne
benzefoam ultra,benzoyl peroxide,Topical acne agents,Acne
benzepro,benzoyl peroxide topical,Topical acne agents,Acne
benziq,benzoyl peroxide topical,Topical acne agents,Acne
benzo-jel,benzocaine,Topical anesthetics,Pain
benzocaine,benzocaine topical,Topical anesthetics,"Anal Itching|Aphthous Ulce|Aphthous Ulcer|Burns, External|Cold Sores|Cold Sores (Herpes Simplex Labialis)|Insect Bites|Oral and Dental Conditions|Pain|Premature Ejaculation|Pruritus|Sore Throat|Sunburn|Tonsillitis/Pharyngitis"
benzoyl peroxide,benzoyl peroxide topical,Topical acne agents,Acne|Not Listed / Othe|Perioral Dermatitis
beser,fluticasone topical,Topical steroids,Eczema
beta hc,hydrocortisone topical,Topical steroids,Eczema
betamethasone,betamethasone topical,Topical steroids,"Atopic Dermatitis|Bursitis|Crohn's Disease, Acute|Dermatitis|Dermatological Disorders|Gouty Arthritis|Inflammatory Conditions|Lichen Planus|Lichen Sclerosus|Not Listed / Othe|Osteoarthritis|Plaque Psoriasis|Psoriasis"
betatar gel,coal tar,Miscellaneous topical agents,Psoriasis
biaxin xl,clarithromycin,Macrolides,Bronchitis|Pneumonia
bidex-400,guaifenesin,Expectorants,Bronchitis
binora,benzoyl peroxide,Topical acne agents,Acne
binosto,alendronate,Bisphosphonates,Osteoporosis
biofreeze,menthol topical,Topical rubefacient,Pain
bismarex,bismuth subsalicylate,Antidiarrheals,Diarrhea
bismatrol,bismuth subsalicylate,Antidiarrheals,Diarrhea
bismatrol maximum strength,bismuth subsalicylate,Antidiarrheals,Diarrhea
bismuth subsalicylate,bismuth subsalicylate,Antidiarrheals,"Diarrhea|Diarrhea, Chronic|Helicobacter Pylori Infection|Indigestion|Lymphocytic Colitis|Traveler's Diarrhea"
bivalirudin,bivalirudin,Thrombin inhibitors,Angina|Percutaneous Coronary Intervention
blue gel,menthol topical,Topical rubefacient,Pain
boniva,ibandronate,Bisphosphonates,Osteoporosis|Prevention of Osteoporosis
bontril pdm,phendimetrazine,"Anorexiants, CNS stimulants",Obesity|Weight Loss
boroleum,methyl salicylate topical,Topical rubefacient,Osteoarthritis
