mode,query_id,recommended,relevant,candidate_union_size,disease,strict,symptom,bm25,dense,prior,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr,stage_hit_disease,stage_hit_strict,stage_hit_symptom,stage_hit_bm25,stage_hit_dense,stage_hit_prior,stage_hit_union
local_ranker,eval_0011,vibramycin | septra | sulfamethoxazole / trimethoprim | bactrim | clindamycin | doxy 100 | doxycycline | minocycline | bactrim ds | septra ds | cephalexin | keflex | smz-tmp ds | isotretinoin | accutane | adapalene / benzoyl peroxide | epiduo | benzoyl peroxide / clindamycin | phillips' milk of magnesia | claravis,doxycycline | clindamycin | sulfamethoxazole / trimethoprim,1000,273,273,420,1000,0,1000,0.4,0.6666666666666666,1.0,0.36664444053811357,0.3,1.0,1.0,0.5363433650638435,0.15,1.0,1.0,0.5363433650638435,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0
local_ranker,eval_0006,hydrocortisone | dexamethasone | calcium carbonate | prednisone | triamcinolone | ciprofloxacin | prednisolone | omeprazole | esomeprazole | lansoprazole | mycophenolate mofetil | rabeprazole | pantoprazole | mesalamine | asacol | remicade | adalimumab | pentasa | humira | asacol hd,ciprofloxacin,1000,80,80,1000,1000,0,1000,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.3562071871080222,0.05,1.0,1.0,0.3562071871080222,0.16666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0
local_ranker,eval_0009,xopenex | levalbuterol | cinqair | aclidinium | ipratropium inhalation solution | yupelri | atrovent | revefenacin | reslizumab | symbicort | fluticasone / vilanterol | budesonide / formoterol | tudorza pressair | mepolizumab | nucala | umeclidinium / vilanterol | fasenra | dulera | formoterol / mometasone | atrovent hfa,prednisone,1000,221,221,1000,1000,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
local_ranker,eval_0016,isotretinoin | accutane | adapalene / benzoyl peroxide | epiduo | benzoyl peroxide / clindamycin | vincristine | phillips' milk of magnesia | claravis | tretinoin | benzaclin | magnesium hydroxide | retin-a | clindamycin / tretinoin | aczone | duac | benzoyl peroxide / sulfur | onexton | azelaic acid | avita | benzefoam ultra,isotretinoin | accutane | adapalene / benzoyl peroxide,1000,273,273,726,1000,0,1000,0.6,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
local_ranker,eval_0019,flanax pain reliever | ibuprofen | naproxen | naprosyn | aleve | ditropan xl | doxycycline | triamcinolone | oxybutynin | lidocaine | doxy 100 | sulfamethoxazole / trimethoprim | sucralfate | bactrim ds | cephalexin | bactrim | moxifloxacin | avelox | septra ds | ciprofloxacin,naproxen | triamcinolone,1000,273,273,273,1000,0,1000,0.2,0.5,1.0,0.3065735963827292,0.2,1.0,1.0,0.5,0.1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,1.0
