query_id,label_idf_only_hit@20,label_idf_only_recall@20,label_idf_only_mrr,candidate_union_hit@20,candidate_union_recall@20,candidate_union_mrr,candidate_union_no_prior_hit@20,candidate_union_no_prior_recall@20,candidate_union_no_prior_mrr,candidate_union_no_bm25_hit@20,candidate_union_no_bm25_recall@20,candidate_union_no_bm25_mrr,candidate_union_no_prior_no_bm25_hit@20,candidate_union_no_prior_no_bm25_recall@20,candidate_union_no_prior_no_bm25_mrr
eval_0133,1.0,0.8,0.3333333333333333,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0134,1.0,0.5,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25
eval_0135,1.0,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0142,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
eval_0144,0.0,0.0,0.0,1.0,0.5,0.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0145,0.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,0.1,1.0,1.0,0.5,1.0,1.0,0.5
eval_0146,1.0,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.25
eval_0150,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0151,1.0,1.0,1.0,1.0,0.6666666666666666,0.14285714285714285,1.0,0.6666666666666666,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
eval_0155,1.0,0.5,0.058823529411764705,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,0.25
eval_0156,1.0,0.3333333333333333,0.058823529411764705,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285
eval_0163,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.2
eval_0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,1.0,1.0,0.5
eval_0175,1.0,0.3333333333333333,0.05,1.0,1.0,0.125,1.0,1.0,0.1111111111111111,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285
eval_0177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.07142857142857142,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
eval_0178,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0
eval_0179,1.0,0.5,0.2,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.3333333333333333
eval_0180,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2
eval_0183,1.0,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0
eval_0184,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0185,1.0,1.0,0.3333333333333333,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0
eval_0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
eval_0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.25
eval_0188,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
eval_0190,1.0,0.5,0.07692307692307693,1.0,1.0,0.07692307692307693,1.0,1.0,0.07142857142857142,1.0,1.0,0.07692307692307693,1.0,1.0,0.07142857142857142
eval_0192,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0195,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.25,1.0,0.3333333333333333,0.2
eval_0198,1.0,1.0,0.3333333333333333,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
eval_0199,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
